Seder,Masechet,Perek,Mishna,Title,Teacher,Duration
Zeraim,Berachot,1,1,,,
Zeraim,Berachot,1,2,,,
Zeraim,Berachot,1,3,,,
Zeraim,Berachot,1,4,,,
Zeraim,Berachot,1,5,,,
Zeraim,Berachot,2,1,,,
Zeraim,Berachot,2,2,,,
Zeraim,Berachot,2,3,,,
Zeraim,Berachot,2,4,,,
Zeraim,Berachot,2,5,,,
Zeraim,Berachot,2,6,,,
Zeraim,Berachot,2,7,,,
Zeraim,Berachot,2,8,,,
Zeraim,Berachot,3,1,,,
Zeraim,Berachot,3,2,,,
Zeraim,Berachot,3,3,,,
Zeraim,Berachot,3,4,,,
Zeraim,Berachot,3,5,,,
Zeraim,Berachot,3,6,,,
Zeraim,Berachot,4,1,,,
Zeraim,Berachot,4,2,,,
Zeraim,Berachot,4,3,,,
Zeraim,Berachot,4,4,,,
Zeraim,Berachot,4,5,,,
Zeraim,Berachot,4,6,,,
Zeraim,Berachot,4,7,,,
Zeraim,Berachot,5,1,,,
Zeraim,Berachot,5,2,,,
Zeraim,Berachot,5,3,,,
Zeraim,Berachot,5,4,,,
Zeraim,Berachot,5,5,,,
Zeraim,Berachot,6,1,,,
Zeraim,Berachot,6,2,,,
Zeraim,Berachot,6,3,,,
Zeraim,Berachot,6,4,,,
Zeraim,Berachot,6,5,,,
Zeraim,Berachot,6,6,,,
Zeraim,Berachot,6,7,,,
Zeraim,Berachot,6,8,,,
Zeraim,Berachot,7,1,,,
Zeraim,Berachot,7,2,,,
Zeraim,Berachot,7,3,,,
Zeraim,Berachot,7,4,,,
Zeraim,Berachot,7,5,,,
Zeraim,Berachot,8,1,,,
Zeraim,Berachot,8,2,,,
Zeraim,Berachot,8,3,,,
Zeraim,Berachot,8,4,,,
Zeraim,Berachot,8,5,,,
Zeraim,Berachot,8,6,,,
Zeraim,Berachot,8,7,,,
Zeraim,Berachot,8,8,,,
Zeraim,Berachot,9,1,,,
Zeraim,Berachot,9,2,,,
Zeraim,Berachot,9,3,,,
Zeraim,Berachot,9,4,,,
Zeraim,Berachot,9,5,,,
Zeraim,Peah,1,1,,,
Zeraim,Peah,1,2,,,
Zeraim,Peah,1,3,,,
Zeraim,Peah,1,4,,,
Zeraim,Peah,1,5,,,
Zeraim,Peah,1,6,,,
Zeraim,Peah,2,1,,,
Zeraim,Peah,2,2,,,
Zeraim,Peah,2,3,,,
Zeraim,Peah,2,4,,,
Zeraim,Peah,2,5,,,
Zeraim,Peah,2,6,,,
Zeraim,Peah,2,7,,,
Zeraim,Peah,2,8,,,
Zeraim,Peah,3,1,,,
Zeraim,Peah,3,2,,,
Zeraim,Peah,3,3,,,
Zeraim,Peah,3,4,,,
Zeraim,Peah,3,5,,,
Zeraim,Peah,3,6,,,
Zeraim,Peah,3,7,,,
Zeraim,Peah,3,8,,,
Zeraim,Peah,4,1,,,
Zeraim,Peah,4,2,,,
Zeraim,Peah,4,3,,,
Zeraim,Peah,4,4,,,
Zeraim,Peah,4,5,,,
Zeraim,Peah,4,6,,,
Zeraim,Peah,4,7,,,
Zeraim,Peah,4,8,,,
Zeraim,Peah,4,9,,,
Zeraim,Peah,4,10,,,
Zeraim,Peah,4,11,,,
Zeraim,Peah,5,1,,,
Zeraim,Peah,5,2,,,
Zeraim,Peah,5,3,,,
Zeraim,Peah,5,4,,,
Zeraim,Peah,5,5,,,
Zeraim,Peah,5,6,,,
Zeraim,Peah,5,7,,,
Zeraim,Peah,5,8,,,
Zeraim,Peah,6,1,,,
Zeraim,Peah,6,2,,,
Zeraim,Peah,6,3,,,
Zeraim,Peah,6,4,,,
Zeraim,Peah,6,5,,,
Zeraim,Peah,6,6,,,
Zeraim,Peah,6,7,,,
Zeraim,Peah,6,8,,,
Zeraim,Peah,6,9,,,
Zeraim,Peah,6,10,,,
Zeraim,Peah,6,11,,,
Zeraim,Peah,7,1,,,
Zeraim,Peah,7,2,,,
Zeraim,Peah,7,3,,,
Zeraim,Peah,7,4,,,
Zeraim,Peah,7,5,,,
Zeraim,Peah,7,6,,,
Zeraim,Peah,7,7,,,
Zeraim,Peah,7,8,,,
Zeraim,Peah,8,1,,,
Zeraim,Peah,8,2,,,
Zeraim,Peah,8,3,,,
Zeraim,Peah,8,4,,,
Zeraim,Peah,8,5,,,
Zeraim,Peah,8,6,,,
Zeraim,Peah,8,7,,,
Zeraim,Peah,8,8,,,
Zeraim,Peah,8,9,,,
Zeraim,Demai,1,1,,,
Zeraim,Demai,1,2,,,
Zeraim,Demai,1,3,,,
Zeraim,Demai,1,4,,,
Zeraim,Demai,2,1,,,
Zeraim,Demai,2,2,,,
Zeraim,Demai,2,3,,,
Zeraim,Demai,2,4,,,
Zeraim,Demai,2,5,,,
Zeraim,Demai,3,1,,,
Zeraim,Demai,3,2,,,
Zeraim,Demai,3,3,,,
Zeraim,Demai,3,4,,,
Zeraim,Demai,3,5,,,
Zeraim,Demai,3,6,,,
Zeraim,Demai,4,1,,,
Zeraim,Demai,4,2,,,
Zeraim,Demai,4,3,,,
Zeraim,Demai,4,4,,,
Zeraim,Demai,4,5,,,
Zeraim,Demai,4,6,,,
Zeraim,Demai,4,7,,,
Zeraim,Demai,5,1,,,
Zeraim,Demai,5,2,,,
Zeraim,Demai,5,3,,,
Zeraim,Demai,5,4,,,
Zeraim,Demai,5,5,,,
Zeraim,Demai,5,6,,,
Zeraim,Demai,5,7,,,
Zeraim,Demai,5,8,,,
Zeraim,Demai,5,9,,,
Zeraim,Demai,5,10,,,
Zeraim,Demai,5,11,,,
Zeraim,Demai,6,1,,,
Zeraim,Demai,6,2,,,
Zeraim,Demai,6,3,,,
Zeraim,Demai,6,4,,,
Zeraim,Demai,6,5,,,
Zeraim,Demai,6,6,,,
Zeraim,Demai,6,7,,,
Zeraim,Demai,6,8,,,
Zeraim,Demai,6,9,,,
Zeraim,Demai,6,10,,,
Zeraim,Demai,6,11,,,
Zeraim,Demai,6,12,,,
Zeraim,Demai,7,1,,,
Zeraim,Demai,7,2,,,
Zeraim,Demai,7,3,,,
Zeraim,Demai,7,4,,,
Zeraim,Demai,7,5,,,
Zeraim,Demai,7,6,,,
Zeraim,Demai,7,7,,,
Zeraim,Demai,7,8,,,
Zeraim,Kilayim,1,1,,,
Zeraim,Kilayim,1,2,,,
Zeraim,Kilayim,1,3,,,
Zeraim,Kilayim,1,4,,,
Zeraim,Kilayim,1,5,,,
Zeraim,Kilayim,1,6,,,
Zeraim,Kilayim,1,7,,,
Zeraim,Kilayim,1,8,,,
Zeraim,Kilayim,1,9,,,
Zeraim,Kilayim,2,1,,,
Zeraim,Kilayim,2,2,,,
Zeraim,Kilayim,2,3,,,
Zeraim,Kilayim,2,4,,,
Zeraim,Kilayim,2,5,,,
Zeraim,Kilayim,2,6,,,
Zeraim,Kilayim,2,7,,,
Zeraim,Kilayim,2,8,,,
Zeraim,Kilayim,2,9,,,
Zeraim,Kilayim,2,10,,,
Zeraim,Kilayim,2,11,,,
Zeraim,Kilayim,3,1,,,
Zeraim,Kilayim,3,2,,,
Zeraim,Kilayim,3,3,,,
Zeraim,Kilayim,3,4,,,
Zeraim,Kilayim,3,5,,,
Zeraim,Kilayim,3,6,,,
Zeraim,Kilayim,3,7,,,
Zeraim,Kilayim,4,1,,,
Zeraim,Kilayim,4,2,,,
Zeraim,Kilayim,4,3,,,
Zeraim,Kilayim,4,4,,,
Zeraim,Kilayim,4,5,,,
Zeraim,Kilayim,4,6,,,
Zeraim,Kilayim,4,7,,,
Zeraim,Kilayim,4,8,,,
Zeraim,Kilayim,4,9,,,
Zeraim,Kilayim,5,1,,,
Zeraim,Kilayim,5,2,,,
Zeraim,Kilayim,5,3,,,
Zeraim,Kilayim,5,4,,,
Zeraim,Kilayim,5,5,,,
Zeraim,Kilayim,5,6,,,
Zeraim,Kilayim,5,7,,,
Zeraim,Kilayim,5,8,,,
Zeraim,Kilayim,6,1,,,
Zeraim,Kilayim,6,2,,,
Zeraim,Kilayim,6,3,,,
Zeraim,Kilayim,6,4,,,
Zeraim,Kilayim,6,5,,,
Zeraim,Kilayim,6,6,,,
Zeraim,Kilayim,6,7,,,
Zeraim,Kilayim,6,8,,,
Zeraim,Kilayim,6,9,,,
Zeraim,Kilayim,7,1,,,
Zeraim,Kilayim,7,2,,,
Zeraim,Kilayim,7,3,,,
Zeraim,Kilayim,7,4,,,
Zeraim,Kilayim,7,5,,,
Zeraim,Kilayim,7,6,,,
Zeraim,Kilayim,7,7,,,
Zeraim,Kilayim,7,8,,,
Zeraim,Kilayim,8,1,,,
Zeraim,Kilayim,8,2,,,
Zeraim,Kilayim,8,3,,,
Zeraim,Kilayim,8,4,,,
Zeraim,Kilayim,8,5,,,
Zeraim,Kilayim,8,6,,,
Zeraim,Kilayim,9,1,,,
Zeraim,Kilayim,9,2,,,
Zeraim,Kilayim,9,3,,,
Zeraim,Kilayim,9,4,,,
Zeraim,Kilayim,9,5,,,
Zeraim,Kilayim,9,6,,,
Zeraim,Kilayim,9,7,,,
Zeraim,Kilayim,9,8,,,
Zeraim,Kilayim,9,9,,,
Zeraim,Kilayim,9,10,,,
Zeraim,Sheviit,1,1,,,
Zeraim,Sheviit,1,2,,,
Zeraim,Sheviit,1,3,,,
Zeraim,Sheviit,1,4,,,
Zeraim,Sheviit,1,5,,,
Zeraim,Sheviit,1,6,,,
Zeraim,Sheviit,1,7,,,
Zeraim,Sheviit,1,8,,,
Zeraim,Sheviit,2,1,,,
Zeraim,Sheviit,2,2,,,
Zeraim,Sheviit,2,3,,,
Zeraim,Sheviit,2,4,,,
Zeraim,Sheviit,2,5,,,
Zeraim,Sheviit,2,6,,,
Zeraim,Sheviit,2,7,,,
Zeraim,Sheviit,2,8,,,
Zeraim,Sheviit,2,9,,,
Zeraim,Sheviit,2,10,,,
Zeraim,Sheviit,3,1,,,
Zeraim,Sheviit,3,2,,,
Zeraim,Sheviit,3,3,,,
Zeraim,Sheviit,3,4,,,
Zeraim,Sheviit,3,5,,,
Zeraim,Sheviit,3,6,,,
Zeraim,Sheviit,3,7,,,
Zeraim,Sheviit,3,8,,,
Zeraim,Sheviit,3,9,,,
Zeraim,Sheviit,3,10,,,
Zeraim,Sheviit,4,1,,,
Zeraim,Sheviit,4,2,,,
Zeraim,Sheviit,4,3,,,
Zeraim,Sheviit,4,4,,,
Zeraim,Sheviit,4,5,,,
Zeraim,Sheviit,4,6,,,
Zeraim,Sheviit,4,7,,,
Zeraim,Sheviit,4,8,,,
Zeraim,Sheviit,4,9,,,
Zeraim,Sheviit,4,10,,,
Zeraim,Sheviit,5,1,,,
Zeraim,Sheviit,5,2,,,
Zeraim,Sheviit,5,3,,,
Zeraim,Sheviit,5,4,,,
Zeraim,Sheviit,5,5,,,
Zeraim,Sheviit,5,6,,,
Zeraim,Sheviit,5,7,,,
Zeraim,Sheviit,5,8,,,
Zeraim,Sheviit,5,9,,,
Zeraim,Sheviit,6,1,,,
Zeraim,Sheviit,6,2,,,
Zeraim,Sheviit,6,3,,,
Zeraim,Sheviit,6,4,,,
Zeraim,Sheviit,6,5,,,
Zeraim,Sheviit,6,6,,,
Zeraim,Sheviit,7,1,,,
Zeraim,Sheviit,7,2,,,
Zeraim,Sheviit,7,3,,,
Zeraim,Sheviit,7,4,,,
Zeraim,Sheviit,7,5,,,
Zeraim,Sheviit,7,6,,,
Zeraim,Sheviit,7,7,,,
Zeraim,Sheviit,8,1,,,
Zeraim,Sheviit,8,2,,,
Zeraim,Sheviit,8,3,,,
Zeraim,Sheviit,8,4,,,
Zeraim,Sheviit,8,5,,,
Zeraim,Sheviit,8,6,,,
Zeraim,Sheviit,8,7,,,
Zeraim,Sheviit,8,8,,,
Zeraim,Sheviit,8,9,,,
Zeraim,Sheviit,8,10,,,
Zeraim,Sheviit,8,11,,,
Zeraim,Sheviit,9,1,,,
Zeraim,Sheviit,9,2,,,
Zeraim,Sheviit,9,3,,,
Zeraim,Sheviit,9,4,,,
Zeraim,Sheviit,9,5,,,
Zeraim,Sheviit,9,6,,,
Zeraim,Sheviit,9,7,,,
Zeraim,Sheviit,9,8,,,
Zeraim,Sheviit,9,9,,,
Zeraim,Sheviit,10,1,,,
Zeraim,Sheviit,10,2,,,
Zeraim,Sheviit,10,3,,,
Zeraim,Sheviit,10,4,,,
Zeraim,Sheviit,10,5,,,
Zeraim,Sheviit,10,6,,,
Zeraim,Sheviit,10,7,,,
Zeraim,Sheviit,10,8,,,
Zeraim,Sheviit,10,9,,,
Zeraim,Terumot,1,1,,,
Zeraim,Terumot,1,2,,,
Zeraim,Terumot,1,3,,,
Zeraim,Terumot,1,4,,,
Zeraim,Terumot,1,5,,,
Zeraim,Terumot,1,6,,,
Zeraim,Terumot,1,7,,,
Zeraim,Terumot,1,8,,,
Zeraim,Terumot,1,9,,,
Zeraim,Terumot,1,10,,,
Zeraim,Terumot,2,1,,,
Zeraim,Terumot,2,2,,,
Zeraim,Terumot,2,3,,,
Zeraim,Terumot,2,4,,,
Zeraim,Terumot,2,5,,,
Zeraim,Terumot,2,6,,,
Zeraim,Terumot,3,1,,,
Zeraim,Terumot,3,2,,,
Zeraim,Terumot,3,3,,,
Zeraim,Terumot,3,4,,,
Zeraim,Terumot,3,5,,,
Zeraim,Terumot,3,6,,,
Zeraim,Terumot,3,7,,,
Zeraim,Terumot,3,8,,,
Zeraim,Terumot,3,9,,,
Zeraim,Terumot,4,1,,,
Zeraim,Terumot,4,2,,,
Zeraim,Terumot,4,3,,,
Zeraim,Terumot,4,4,,,
Zeraim,Terumot,4,5,,,
Zeraim,Terumot,4,6,,,
Zeraim,Terumot,4,7,,,
Zeraim,Terumot,4,8,,,
Zeraim,Terumot,4,9,,,
Zeraim,Terumot,4,10,,,
Zeraim,Terumot,4,11,,,
Zeraim,Terumot,4,12,,,
Zeraim,Terumot,4,13,,,
Zeraim,Terumot,5,1,,,
Zeraim,Terumot,5,2,,,
Zeraim,Terumot,5,3,,,
Zeraim,Terumot,5,4,,,
Zeraim,Terumot,5,5,,,
Zeraim,Terumot,5,6,,,
Zeraim,Terumot,5,7,,,
Zeraim,Terumot,5,8,,,
Zeraim,Terumot,5,9,,,
Zeraim,Terumot,6,1,,,
Zeraim,Terumot,6,2,,,
Zeraim,Terumot,6,3,,,
Zeraim,Terumot,6,4,,,
Zeraim,Terumot,6,5,,,
Zeraim,Terumot,6,6,,,
Zeraim,Terumot,7,1,,,
Zeraim,Terumot,7,2,,,
Zeraim,Terumot,7,3,,,
Zeraim,Terumot,7,4,,,
Zeraim,Terumot,7,5,,,
Zeraim,Terumot,7,6,,,
Zeraim,Terumot,7,7,,,
Zeraim,Terumot,8,1,,,
Zeraim,Terumot,8,2,,,
Zeraim,Terumot,8,3,,,
Zeraim,Terumot,8,4,,,
Zeraim,Terumot,8,5,,,
Zeraim,Terumot,8,6,,,
Zeraim,Terumot,8,7,,,
Zeraim,Terumot,8,8,,,
Zeraim,Terumot,8,9,,,
Zeraim,Terumot,8,10,,,
Zeraim,Terumot,8,11,,,
Zeraim,Terumot,8,12,,,
Zeraim,Terumot,9,1,,,
Zeraim,Terumot,9,2,,,
Zeraim,Terumot,9,3,,,
Zeraim,Terumot,9,4,,,
Zeraim,Terumot,9,5,,,
Zeraim,Terumot,9,6,,,
Zeraim,Terumot,9,7,,,
Zeraim,Terumot,10,1,,,
Zeraim,Terumot,10,2,,,
Zeraim,Terumot,10,3,,,
Zeraim,Terumot,10,4,,,
Zeraim,Terumot,10,5,,,
Zeraim,Terumot,10,6,,,
Zeraim,Terumot,10,7,,,
Zeraim,Terumot,10,8,,,
Zeraim,Terumot,10,9,,,
Zeraim,Terumot,10,10,,,
Zeraim,Terumot,10,11,,,
Zeraim,Terumot,10,12,,,
Zeraim,Terumot,11,1,,,
Zeraim,Terumot,11,2,,,
Zeraim,Terumot,11,3,,,
Zeraim,Terumot,11,4,,,
Zeraim,Terumot,11,5,,,
Zeraim,Terumot,11,6,,,
Zeraim,Terumot,11,7,,,
Zeraim,Terumot,11,8,,,
Zeraim,Terumot,11,9,,,
Zeraim,Terumot,11,10,,,
Zeraim,Maasrot,1,1,,,
Zeraim,Maasrot,1,2,,,
Zeraim,Maasrot,1,3,,,
Zeraim,Maasrot,1,4,,,
Zeraim,Maasrot,1,5,,,
Zeraim,Maasrot,1,6,,,
Zeraim,Maasrot,1,7,,,
Zeraim,Maasrot,1,8,,,
Zeraim,Maasrot,2,1,,,
Zeraim,Maasrot,2,2,,,
Zeraim,Maasrot,2,3,,,
Zeraim,Maasrot,2,4,,,
Zeraim,Maasrot,2,5,,,
Zeraim,Maasrot,2,6,,,
Zeraim,Maasrot,2,7,,,
Zeraim,Maasrot,2,8,,,
Zeraim,Maasrot,3,1,,,
Zeraim,Maasrot,3,2,,,
Zeraim,Maasrot,3,3,,,
Zeraim,Maasrot,3,4,,,
Zeraim,Maasrot,3,5,,,
Zeraim,Maasrot,3,6,,,
Zeraim,Maasrot,3,7,,,
Zeraim,Maasrot,3,8,,,
Zeraim,Maasrot,3,9,,,
Zeraim,Maasrot,3,10,,,
Zeraim,Maasrot,4,1,,,
Zeraim,Maasrot,4,2,,,
Zeraim,Maasrot,4,3,,,
Zeraim,Maasrot,4,4,,,
Zeraim,Maasrot,4,5,,,
Zeraim,Maasrot,4,6,,,
Zeraim,Maasrot,5,1,,,
Zeraim,Maasrot,5,2,,,
Zeraim,Maasrot,5,3,,,
Zeraim,Maasrot,5,4,,,
Zeraim,Maasrot,5,5,,,
Zeraim,Maasrot,5,6,,,
Zeraim,Maasrot,5,7,,,
Zeraim,Maasrot,5,8,,,
Zeraim,Maaser Sheni,1,1,,,
Zeraim,Maaser Sheni,1,2,,,
Zeraim,Maaser Sheni,1,3,,,
Zeraim,Maaser Sheni,1,4,,,
Zeraim,Maaser Sheni,1,5,,,
Zeraim,Maaser Sheni,1,6,,,
Zeraim,Maaser Sheni,1,7,,,
Zeraim,Maaser Sheni,2,1,,,
Zeraim,Maaser Sheni,2,2,,,
Zeraim,Maaser Sheni,2,3,,,
Zeraim,Maaser Sheni,2,4,,,
Zeraim,Maaser Sheni,2,5,,,
Zeraim,Maaser Sheni,2,6,,,
Zeraim,Maaser Sheni,2,7,,,
Zeraim,Maaser Sheni,2,8,,,
Zeraim,Maaser Sheni,2,9,,,
Zeraim,Maaser Sheni,2,10,,,
Zeraim,Maaser Sheni,3,1,,,
Zeraim,Maaser Sheni,3,2,,,
Zeraim,Maaser Sheni,3,3,,,
Zeraim,Maaser Sheni,3,4,,,
Zeraim,Maaser Sheni,3,5,,,
Zeraim,Maaser Sheni,3,6,,,
Zeraim,Maaser Sheni,3,7,,,
Zeraim,Maaser Sheni,3,8,,,
Zeraim,Maaser Sheni,3,9,,,
Zeraim,Maaser Sheni,3,10,,,
Zeraim,Maaser Sheni,3,11,,,
Zeraim,Maaser Sheni,3,12,,,
Zeraim,Maaser Sheni,3,13,,,
Zeraim,Maaser Sheni,4,1,,,
Zeraim,Maaser Sheni,4,2,,,
Zeraim,Maaser Sheni,4,3,,,
Zeraim,Maaser Sheni,4,4,,,
Zeraim,Maaser Sheni,4,5,,,
Zeraim,Maaser Sheni,4,6,,,
Zeraim,Maaser Sheni,4,7,,,
Zeraim,Maaser Sheni,4,8,,,
Zeraim,Maaser Sheni,4,9,,,
Zeraim,Maaser Sheni,4,10,,,
Zeraim,Maaser Sheni,4,11,,,
Zeraim,Maaser Sheni,4,12,,,
Zeraim,Maaser Sheni,5,1,,,
Zeraim,Maaser Sheni,5,2,,,
Zeraim,Maaser Sheni,5,3,,,
Zeraim,Maaser Sheni,5,4,,,
Zeraim,Maaser Sheni,5,5,,,
Zeraim,Maaser Sheni,5,6,,,
Zeraim,Maaser Sheni,5,7,,,
Zeraim,Maaser Sheni,5,8,,,
Zeraim,Maaser Sheni,5,9,,,
Zeraim,Maaser Sheni,5,10,,,
Zeraim,Maaser Sheni,5,11,,,
Zeraim,Maaser Sheni,5,12,,,
Zeraim,Maaser Sheni,5,13,,,
Zeraim,Maaser Sheni,5,14,,,
Zeraim,Maaser Sheni,5,15,,,
Zeraim,Halla,1,1,,,
Zeraim,Halla,1,2,,,
Zeraim,Halla,1,3,,,
Zeraim,Halla,1,4,,,
Zeraim,Halla,1,5,,,
Zeraim,Halla,1,6,,,
Zeraim,Halla,1,7,,,
Zeraim,Halla,1,8,,,
Zeraim,Halla,1,9,,,
Zeraim,Halla,2,1,,,
Zeraim,Halla,2,2,,,
Zeraim,Halla,2,3,,,
Zeraim,Halla,2,4,,,
Zeraim,Halla,2,5,,,
Zeraim,Halla,2,6,,,
Zeraim,Halla,2,7,,,
Zeraim,Halla,2,8,,,
Zeraim,Halla,3,1,,,
Zeraim,Halla,3,2,,,
Zeraim,Halla,3,3,,,
Zeraim,Halla,3,4,,,
Zeraim,Halla,3,5,,,
Zeraim,Halla,3,6,,,
Zeraim,Halla,3,7,,,
Zeraim,Halla,3,8,,,
Zeraim,Halla,3,9,,,
Zeraim,Halla,3,10,,,
Zeraim,Halla,4,1,,,
Zeraim,Halla,4,2,,,
Zeraim,Halla,4,3,,,
Zeraim,Halla,4,4,,,
Zeraim,Halla,4,5,,,
Zeraim,Halla,4,6,,,
Zeraim,Halla,4,7,,,
Zeraim,Halla,4,8,,,
Zeraim,Halla,4,9,,,
Zeraim,Halla,4,10,,,
Zeraim,Halla,4,11,,,
Zeraim,Orla,1,1,,,
Zeraim,Orla,1,2,,,
Zeraim,Orla,1,3,,,
Zeraim,Orla,1,4,,,
Zeraim,Orla,1,5,,,
Zeraim,Orla,1,6,,,
Zeraim,Orla,1,7,,,
Zeraim,Orla,1,8,,,
Zeraim,Orla,1,9,,,
Zeraim,Orla,2,1,,,
Zeraim,Orla,2,2,,,
Zeraim,Orla,2,3,,,
Zeraim,Orla,2,4,,,
Zeraim,Orla,2,5,,,
Zeraim,Orla,2,6,,,
Zeraim,Orla,2,7,,,
Zeraim,Orla,2,8,,,
Zeraim,Orla,2,9,,,
Zeraim,Orla,2,10,,,
Zeraim,Orla,2,11,,,
Zeraim,Orla,2,12,,,
Zeraim,Orla,2,13,,,
Zeraim,Orla,2,14,,,
Zeraim,Orla,2,15,,,
Zeraim,Orla,2,16,,,
Zeraim,Orla,2,17,,,
Zeraim,Orla,3,1,,,
Zeraim,Orla,3,2,,,
Zeraim,Orla,3,3,,,
Zeraim,Orla,3,4,,,
Zeraim,Orla,3,5,,,
Zeraim,Orla,3,6,,,
Zeraim,Orla,3,7,,,
Zeraim,Orla,3,8,,,
Zeraim,Orla,3,9,,,
Zeraim,Bikurim,1,1,,,
Zeraim,Bikurim,1,2,,,
Zeraim,Bikurim,1,3,,,
Zeraim,Bikurim,1,4,,,
Zeraim,Bikurim,1,5,,,
Zeraim,Bikurim,1,6,,,
Zeraim,Bikurim,1,7,,,
Zeraim,Bikurim,1,8,,,
Zeraim,Bikurim,1,9,,,
Zeraim,Bikurim,1,10,,,
Zeraim,Bikurim,1,11,,,
Zeraim,Bikurim,2,1,,,
Zeraim,Bikurim,2,2,,,
Zeraim,Bikurim,2,3,,,
Zeraim,Bikurim,2,4,,,
Zeraim,Bikurim,2,5,,,
Zeraim,Bikurim,2,6,,,
Zeraim,Bikurim,2,7,,,
Zeraim,Bikurim,2,8,,,
Zeraim,Bikurim,2,9,,,
Zeraim,Bikurim,2,10,,,
Zeraim,Bikurim,2,11,,,
Zeraim,Bikurim,3,1,,,
Zeraim,Bikurim,3,2,,,
Zeraim,Bikurim,3,3,,,
Zeraim,Bikurim,3,4,,,
Zeraim,Bikurim,3,5,,,
Zeraim,Bikurim,3,6,,,
Zeraim,Bikurim,3,7,,,
Zeraim,Bikurim,3,8,,,
Zeraim,Bikurim,3,9,,,
Zeraim,Bikurim,3,10,,,
Zeraim,Bikurim,3,11,,,
Zeraim,Bikurim,3,12,,,
Zeraim,Bikurim,4,1,,,
Zeraim,Bikurim,4,2,,,
Zeraim,Bikurim,4,3,,,
Zeraim,Bikurim,4,4,,,
Zeraim,Bikurim,4,5,,,
Moed,Shabbat,1,1,,,
Moed,Shabbat,1,2,,,
Moed,Shabbat,1,3,,,
Moed,Shabbat,1,4,,,
Moed,Shabbat,1,5,,,
Moed,Shabbat,1,6,,,
Moed,Shabbat,1,7,,,
Moed,Shabbat,1,8,,,
Moed,Shabbat,1,9,,,
Moed,Shabbat,1,10,,,
Moed,Shabbat,1,11,,,
Moed,Shabbat,2,1,,,
Moed,Shabbat,2,2,,,
Moed,Shabbat,2,3,,,
Moed,Shabbat,2,4,,,
Moed,Shabbat,2,5,,,
Moed,Shabbat,2,6,,,
Moed,Shabbat,2,7,,,
Moed,Shabbat,3,1,,,
Moed,Shabbat,3,2,,,
Moed,Shabbat,3,3,,,
Moed,Shabbat,3,4,,,
Moed,Shabbat,3,5,,,
Moed,Shabbat,3,6,,,
Moed,Shabbat,4,1,,,
Moed,Shabbat,4,2,,,
Moed,Shabbat,5,1,,,
Moed,Shabbat,5,2,,,
Moed,Shabbat,5,3,,,
Moed,Shabbat,5,4,,,
Moed,Shabbat,6,1,,,
Moed,Shabbat,6,2,,,
Moed,Shabbat,6,3,,,
Moed,Shabbat,6,4,,,
Moed,Shabbat,6,5,,,
Moed,Shabbat,6,6,,,
Moed,Shabbat,6,7,,,
Moed,Shabbat,6,8,,,
Moed,Shabbat,6,9,,,
Moed,Shabbat,6,10,,,
Moed,Shabbat,7,1,,,
Moed,Shabbat,7,2,,,
Moed,Shabbat,7,3,,,
Moed,Shabbat,7,4,,,
Moed,Shabbat,8,1,,,
Moed,Shabbat,8,2,,,
Moed,Shabbat,8,3,,,
Moed,Shabbat,8,4,,,
Moed,Shabbat,8,5,,,
Moed,Shabbat,8,6,,,
Moed,Shabbat,8,7,,,
Moed,Shabbat,9,1,,,
Moed,Shabbat,9,2,,,
Moed,Shabbat,9,3,,,
Moed,Shabbat,9,4,,,
Moed,Shabbat,9,5,,,
Moed,Shabbat,9,6,,,
Moed,Shabbat,9,7,,,
Moed,Shabbat,10,1,,,
